task,gnn_pr_auc,gnn_roc_auc,class_weight
NR-AR,0.27114927926660964,0.6782509381628324,15.0
NR-AR-LBD,0.2892550797800391,0.7760445174238277,15.0
NR-AhR,0.5133747409582947,0.8507326007326007,8.052810668945312
NR-Aromatase,0.1794837424951502,0.7219887955182073,15.0
NR-ER,0.31280113216626715,0.6742080194949047,6.903726577758789
NR-ER-LBD,0.1868495327693233,0.7694088319088319,15.0
NR-PPAR-gamma,0.12247028436635501,0.7147378560616486,15.0
SR-ARE,0.45777528703582193,0.6985832926233513,5.829608917236328
SR-ATAD5,0.21971937607648911,0.7723526343244653,15.0
SR-HSE,0.20467226684771117,0.7496819338422392,15.0
SR-MMP,0.468694255394883,0.7901973323588525,5.706872463226318
SR-p53,0.22948468796895313,0.7173408069484422,15.0
